IDEmbarcacao;Nome da Embarcação;Ano da Construção da Embarcação;Codigo do Tipo de Material do Casco;Tipo de Material do Casco;Codigo do Tipo da Embarcação;Tipo de Embarcação;Codigo do País Atual;Codigo do País de Origem;Boca;Calado;Comprimento;TPB
39576;MS VI;1999;1;Aço;39;BALSA;BR;BR;15,5;2,09;75;1657,72
39604;RIO BOA FÉ;1995;1;Aço;39;BALSA;BR;BR;12,5;1,81;54,5;863,76
37472;PORTO AREALVA IX;1995;1;Aço;39;BALSA;BR;BR;10;0,3;21,8;15,5
13529;SC-X;2005;1;Aço;39;BALSA;BR;BR;15,46;3,55;65;2625,64
39590;EDU III;1987;1;Aço;39;BALSA;BR;BR;12;1,55;54;635
36908;MÔNICA;1992;1;Aço;39;BALSA;BR;BR;10;1,23;45;190
37089;JM 400-03;1990;1;Aço;39;BALSA;BR;BR;9,9;1,52;38;403,8
36751;JATAPÚ II;1988;1;Aço;39;BALSA;BR;BR;18,4;1,75;60;1237
13528;CD ITAIPU (EX SC-IX);2005;1;Aço;39;BALSA;BR;BR;14;2,99;52;1582,29
36928;HERNAVE II;1979;1;Aço;39;BALSA;BR;BR;11,36;2,5;77;1200
36922;NARA I;1989;1;Aço;39;BALSA;BR;BR;9,3;;43,2;185,55
13971;MAJONAVE I;1999;1;Aço;39;BALSA;BR;BR;18,5;2,5;73,5;1706,89
13420;T - 238;2005;1;Aço;39;BALSA;BR;BR;15;3,3;65;2256
13447;NAVEZON 114 BP;1978;1;Aço;39;BALSA;BR;BR;10,5;1,53;41,5;424,61
13448;DONA ROMILDA;1986;1;Aço;39;BALSA;BR;BR;9;1,54;40;1
13419;M - 155;2004;1;Aço;39;BALSA;BR;BR;13,7;2,2;67,5;1560,9
41155;TQ-133;2011;1;Aço;39;BALSA;BR;BR;10,68;3,04;59,47;1637,78
13449;NAVEZON 112/BP;1978;1;Aço;39;BALSA;BR;BR;13,04;2;53;1000
13524;ITL II;1988;1;Aço;39;BALSA;BR;BR;8;1,3;25;157,1
41144;PIPES 140;2006;1;Aço;39;BALSA;BR;BR;11,04;1,1;42,03;221
41145;PIPES 36;1990;1;Aço;39;BALSA;BR;BR;3,15;0,6;16,35;16,6
13441;GLA 02;1977;1;Aço;39;BALSA;BR;BR;12,01;1,3;36;414,2
39707;BERTOLINI CXCI (191);2009;1;Aço;39;BALSA;BR;BR;18,5;2,23;80;1743,33
13440;ISABELE XIX;2004;1;Aço;39;BALSA;BR;BR;21;2,3;74,9;2018,9
13031;PIPES 67;1996;1;Aço;39;BALSA;BR;BR;10;0,9;32;155
40042;CD ILHABELA;2006;1;Aço;39;BALSA;BR;BR;7;2,69;29,8;378,68
13175;CD PAQUETÁ;1988;1;Aço;39;BALSA;BR;BR;13;2,12;54,5;1059,19
13196;HERMASA ITACOATIARA;1998;1;Aço;39;BALSA;BR;BR;10,67;1,9;60,98;929,7
13174;DONA CHIQUINHA;1987;1;Aço;39;BALSA;BR;BR;13;1,7;46;750
40275;TRANSANDRESSA X;1995;1;Aço;39;BALSA;BR;BR;10,5;0,95;56;249
41446;PINDAMONHANGABA;1993;1;Aço;39;BALSA;BR;BR;5;1;15;59,2
13028;PIPES 81;1997;1;Aço;39;BALSA;BR;BR;10;0,8;32;135
40097;ELIANA MADY;1989;1;Aço;39;BALSA;BR;BR;10;1,72;45;516,31
41308;MARGILL V;2010;1;Aço;39;BALSA;BR;BR;4,2;0,6;11,5;3,2
13218;M - 501;2007;1;Aço;39;BALSA;BR;BR;22;3,9;78,2;4851,1
40037;JR I;1998;1;Aço;39;BALSA;BR;BR;12,5;2,1;54;947,27
41322;GB 60;1997;1;Aço;39;BALSA;BR;BR;12;1,64;46;600
39754;D. LIANA;2005;1;Aço;39;BALSA;BR;BR;10;1,77;40;493,41
